CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,ASC_1LIV_COD,ASC_1LIV_NOME,ASC_1LIV_TIPO,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8,CIT_1_LKA,CIT_2_UKR,CIT_3_CHN,CIT_4_PAK,CIT_5_ROU,CIT_6_BGD,CIT_7_PHL,CIT_8_NGA,CIT_9_SEN,CIT_10_DOM
15,Campania,63,Napoli,49,Napoli,63049,63049001,Municipalità  1,Municipalità,77036,35735,41301,2544,3080,3858,4264,4161,3930,3704,3731,4442,5778,6332,6598,5683,4893,4354,9684,1291,1569,1970,2196,2126,1990,1814,1782,2030,2679,2872,3016,2587,2217,1939,3657,1253,1511,1888,2068,2035,1940,1890,1949,2412,3099,3460,3582,3096,2676,2415,6027,72066,33211,38855,2505,8011,16386,21656,23508,1076,3105,8001,10060,10969,1429,4906,8385,11596,12539,25948,14125,11823,8999,44275,18453,4600,21452,7702,4399,22823,10751,23569,13098,10471,5309,1981,3328,1092,2598,1619,537,148,389,4772,1833,2939,483,4348,478,230,1640,111,253,2708,367,2379,1027,1352,35274,14700,8291,6075,4525,1266,417,1792,891,65,44,149,163,541,33,13,47
15,Campania,63,Napoli,49,Napoli,63049,63049002,Municipalità  2,Municipalità,90262,44272,45990,3598,4036,4412,4675,5135,5330,5607,5981,6461,7104,7293,6955,5904,5017,4616,8138,1824,2076,2269,2364,2672,2777,2987,3254,3321,3572,3600,3353,2727,2325,2031,3120,1774,1960,2143,2311,2463,2553,2620,2727,3140,3532,3693,3602,3177,2692,2585,5018,83461,40785,42676,4521,13261,27519,24387,13773,2199,5426,14636,12157,6367,2322,7835,12883,12230,7406,28147,17455,10692,10304,50061,17196,5305,24571,7276,4999,25490,9920,22395,13414,8981,12701,7120,5581,3800,6917,1984,698,255,443,12003,6865,5138,1742,10384,575,864,6056,200,878,4328,375,5752,4041,1711,39459,15283,9438,6829,5445,1735,729,4374,1011,734,1131,304,1027,727,124,352,181
15,Campania,63,Napoli,49,Napoli,63049,63049003,Municipalità  3,Municipalità,96710,46541,50169,3992,4524,5287,5662,5530,5413,5524,5821,6416,7810,7929,7408,6081,4958,4727,9628,2047,2339,2801,2957,2921,2768,2728,2838,3129,3827,3915,3509,2864,2265,2084,3549,1945,2185,2486,2705,2609,2645,2796,2983,3287,3983,4014,3899,3217,2693,2643,6079,89180,42657,46523,4291,14134,29137,28651,12967,1911,5581,15074,14369,5722,2380,8553,14063,14282,7245,29628,18130,11498,12285,56117,18956,6367,27669,7780,5918,28448,11176,25789,15748,10041,9352,4725,4627,3163,4699,1490,620,215,405,8732,4510,4222,1518,7477,357,820,3787,118,698,3690,239,3839,2382,1457,39868,13106,9898,7786,6440,2001,637,5611,976,93,152,319,94,55,193,46,155
15,Campania,63,Napoli,49,Napoli,63049,63049004,Municipalità  4,Municipalità,119296,59288,60008,5074,5625,6152,6362,6823,7147,7889,7984,8385,9360,9023,8976,7515,6643,5849,10489,2640,2847,3187,3168,3644,3879,4134,4315,4517,4854,4541,4333,3550,3122,2662,3895,2434,2778,2965,3194,3179,3268,3755,3669,3868,4506,4482,4643,3965,3521,3187,6594,109710,54381,55329,6145,18639,39658,33545,11723,3071,7706,20932,17138,5534,3074,10933,18726,16407,6189,36038,23597,12441,14637,66291,22443,7521,32740,9458,7116,33551,12985,28465,18248,10217,15925,9569,6356,4976,8607,2342,883,361,522,15042,9208,5834,2214,13173,538,1153,8195,221,1061,4978,317,7573,5349,2224,49769,17854,11802,8861,7500,2653,1099,1102,1354,4212,1732,471,684,180,920,724,454
15,Campania,63,Napoli,49,Napoli,63049,63049005,Municipalità  5,Municipalità,137483,63984,73499,4370,5465,6613,7003,7344,6895,6894,7362,8179,10397,11033,11275,9639,8895,8332,17787,2221,2805,3320,3532,3828,3540,3503,3661,3900,4944,5102,5169,4321,3907,3607,6624,2149,2660,3293,3471,3516,3355,3391,3701,4279,5453,5931,6106,5318,4988,4725,11163,128879,59547,69332,4627,14734,28923,43380,37215,2068,5661,14338,20724,16756,2559,9073,14585,22656,20459,46476,25558,20918,15672,79420,34466,7961,37992,14030,7711,41428,20436,42819,23177,19642,7925,4001,3924,1862,4333,1730,781,219,562,7144,3782,3362,776,6601,548,385,3508,108,391,3093,440,3657,2381,1276,61345,22974,15740,11394,8546,2079,612,902,1478,560,851,307,839,207,93,331,50
15,Campania,63,Napoli,49,Napoli,63049,63049006,Municipalità  6,Municipalità,105970,51826,54144,5168,5528,6281,6584,6623,6722,6675,6520,6704,7435,7384,7679,6925,5959,5302,8481,2717,2830,3191,3451,3500,3408,3371,3207,3313,3713,3540,3724,3195,2797,2566,3303,2451,2698,3090,3133,3123,3314,3304,3313,3391,3722,3844,3955,3730,3162,2736,5178,96493,46904,49589,4779,18283,38635,28175,6621,1919,7238,20186,14553,3008,2860,11045,18449,13622,3613,26787,18626,8161,16641,67348,19631,8556,33477,8646,8085,33871,10985,25964,18115,7849,2350,1147,1203,732,1186,432,481,192,289,1869,955,914,336,1903,111,182,945,20,154,958,91,823,511,312,38453,9062,9750,8025,7078,3126,1412,63,489,288,65,335,47,4,81,26,23
15,Campania,63,Napoli,49,Napoli,63049,63049007,Municipalità  7,Municipalità,115524,56352,59172,5775,6153,6772,7183,7117,7100,7321,7141,7170,8148,8420,8667,7543,6476,5482,9056,2984,3175,3470,3694,3727,3582,3605,3582,3517,4046,4127,4202,3514,3105,2503,3519,2791,2978,3302,3489,3390,3518,3716,3559,3653,4102,4293,4465,4029,3371,2979,5537,104918,50886,54032,5150,20440,43828,28693,6807,2064,7939,22944,14904,3035,3086,12501,20884,13789,3772,27977,19246,8731,18383,74438,20921,9462,36976,9107,8921,37462,11814,27432,18889,8543,1782,807,975,561,879,342,234,61,173,1548,746,802,317,1372,93,167,620,20,150,752,73,545,357,188,41513,9922,10240,8643,7594,3295,1819,65,,,,,,,,,
15,Campania,63,Napoli,49,Napoli,63049,63049008,Municipalità  8,Municipalità,45834,22158,23676,1899,2128,2501,2752,2697,2764,2790,2732,2873,3518,3580,3534,3173,2768,2361,3764,968,1090,1324,1433,1383,1383,1376,1377,1412,1636,1714,1700,1442,1298,1094,1528,931,1038,1177,1319,1314,1381,1414,1355,1461,1882,1866,1834,1731,1470,1267,2236,42240,20327,21913,1769,7208,15257,13378,4628,739,2838,7991,6693,2066,1030,4370,7266,6685,2562,12862,8109,4753,6340,29203,8819,3290,14380,3908,3050,14823,4911,12388,7865,4523,1472,580,892,392,769,311,304,104,200,1168,476,692,188,1210,74,92,476,12,96,734,62,474,244,230,17358,4589,4310,3724,3082,1130,523,349,389,27,11,203,3,10,40,8,7
15,Campania,63,Napoli,49,Napoli,63049,63049009,Municipalità  9,Municipalità,96316,46734,49582,4026,4734,5427,5366,5233,5484,5894,6092,6363,7030,6688,7247,6818,6249,5441,8224,2084,2446,2796,2744,2743,2797,2863,2987,3096,3456,3242,3400,3112,2987,2589,3392,1942,2288,2631,2622,2490,2687,3031,3105,3267,3574,3446,3847,3706,3262,2852,4832,88559,42729,45830,3672,15595,31645,29001,8646,1549,6180,16430,14714,3856,2123,9415,15215,14287,4790,26592,17034,9558,13953,60519,19810,7197,29763,8943,6756,30756,10867,25884,16653,9231,2034,831,1203,543,1092,399,325,98,227,1709,733,976,234,1696,104,129,677,25,105,1019,79,708,381,327,35665,8505,9203,7704,6877,2380,996,107,361,73,15,186,4,60,60,9,30
15,Campania,63,Napoli,49,Napoli,63049,63049010,Municipalità  10,Municipalità,88574,41666,46908,3126,3565,4158,4538,4610,4657,4714,4883,5150,6571,6784,7256,6534,5720,5502,10806,1610,1837,2155,2397,2346,2354,2336,2353,2444,3083,3161,3339,3054,2642,2460,4095,1516,1728,2003,2141,2264,2303,2378,2530,2706,3488,3623,3917,3480,3078,3042,6711,82675,38627,44048,2940,12100,23572,29986,14077,1128,4389,11913,14885,6312,1812,7711,11659,15101,7765,27737,16223,11514,10670,54134,21865,5522,26399,9175,5148,27735,12690,27021,15955,11066,1905,570,1335,438,933,534,355,91,264,1550,479,1071,179,1563,163,80,468,22,99,1095,141,716,268,448,37577,12266,10062,7502,5797,1453,497,156,489,109,34,152,14,89,14,3,56
